Comparison,p-value,Adjusted α,Significant
CL-NSGA-II (Proposed) vs MOPSO,1.9073486328125e-06,0.0033333333333333335,True
Proposed w/o novelty (ablation) vs MOPSO,1.9073486328125e-06,0.0035714285714285718,True
Proposed w/o novelty (ablation) vs MODE,1.9073486328125e-06,0.0038461538461538464,True
NSGA-II vs MOPSO,1.9073486328125e-06,0.004166666666666667,True
NSGA-II vs MODE,1.9073486328125e-06,0.004545454545454546,True
CL-NSGA-II (Proposed) vs MODE,2.6702880859375e-05,0.005,True
Proposed w/o novelty (ablation) vs MOGWO,2.6702880859375e-05,0.005555555555555556,True
NSGA-II vs MOGWO,2.6702880859375e-05,0.00625,True
MOPSO vs MOGWO,0.0003270126629328652,0.0071428571428571435,True
CL-NSGA-II (Proposed) vs Proposed w/o novelty (ablation),0.0010166168212890625,0.008333333333333333,True
CL-NSGA-II (Proposed) vs NSGA-II,0.0010166168212890625,0.01,True
CL-NSGA-II (Proposed) vs MOGWO,0.012079238891601562,0.0125,True
Proposed w/o novelty (ablation) vs NSGA-II,,0.016666666666666666,False
MODE vs MOGWO,0.014097354120504295,0.025,True
MOPSO vs MODE,0.03546470751403722,0.05,True
